#RESOURCE=yCat_120590137
#Name: J/AcA/59/137
#Title: ASAS Galactic fundamental mode RR Lyrae stars (Szczygiel+, 2009)
#Table	J_AcA_59_137_table1:
#Name: J/AcA/59/137/table1
#Title: Fourier parameters for 1423 ASAS RRab stars
#Column	a0	(F9.6)	a0 Fourier parameter	[ucd=stat.fit.param]
#Column	a1	(F9.6)	a1 Fourier parameter	[ucd=stat.fit.param]
#Column	phi1	(F9.6)	{phi}1 Fourier parameter	[ucd=stat.fit.param]
#Column	a2	(F9.6)	a2 Fourier parameter	[ucd=stat.fit.param]
#Column	phi2	(F9.6)	{phi}2 Fourier parameter	[ucd=stat.fit.param]
#Column	a3	(F9.6)	a3 Fourier parameter	[ucd=stat.fit.param]
#Column	phi3	(F9.6)	{phi}3 Fourier parameter	[ucd=stat.fit.param]
#Column	a4	(F9.6)	a4 Fourier parameter	[ucd=stat.fit.param]
#Column	phi4	(F9.6)	{phi}4 Fourier parameter	[ucd=stat.fit.param]
#Column	a5	(F9.6)	a5 Fourier parameter	[ucd=stat.fit.param]
#Column	phi5	(F9.6)	{phi}5 Fourier parameter	[ucd=stat.fit.param]
#Column	a6	(F9.6)	a6 Fourier parameter	[ucd=stat.fit.param]
#Column	phi6	(F9.6)	{phi}6 Fourier parameter	[ucd=stat.fit.param]
#a0	a1	phi1	a2	phi2	a3	phi3	a4	phi4	a5	phi5	a6	phi6
#mag	mag	rad	mag	rad	mag	rad	mag	rad	mag	rad	mag	rad
#---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------
13.842924	 0.329320	 4.004640	 0.166972	 4.122811	-0.087526	 1.556706	-0.107366	 1.923946	 0.062628	 5.417750	-0.032009	 2.684682
13.274873	 0.283151	 4.070887	-0.146538	 1.066272	-0.097522	 1.512040	 0.059016	 5.175888	 0.030767	 5.748364	 0.016237	 6.055837
13.401366	 0.283994	 4.291995	-0.135573	 1.482129	-0.063920	 2.108336	 0.051234	 5.630420	-0.028033	 4.033187	-0.019988	 5.236610
14.101369	 0.319822	 4.073732	-0.139966	 0.848453	-0.058646	 0.889582	-0.050901	 0.790051	-0.049343	 0.229310	-0.033408	 0.782962
13.189772	 0.348268	 4.017987	-0.163451	 0.989231	-0.102599	 1.257491	-0.061362	 1.664025	 0.040917	 5.468494	-0.016804	 2.329848
14.071039	 0.349792	 4.024363	-0.125499	 0.964308	-0.073611	 1.540830	-0.070593	 1.259260	-0.022800	 1.879609	 0.039385	 5.909508
11.608967	 0.095059	 4.578800	 0.011059	 5.303982	 0.008579	 1.517777	-0.014013	 0.746786	-0.003502	 2.481615	 0.017077	 4.733078
12.705101	-0.249582	 0.904873	 0.118754	 4.306343	 0.078577	 4.921475	 0.034904	 5.765918	 0.009844	 0.111077	 0.002808	 1.742922
14.274932	 0.347133	 4.450456	 0.092321	 5.607327	-0.034760	 2.774278	 0.068576	 4.178489	 0.022802	 0.006109	 0.015738	 3.884601
12.668569	 0.389865	 4.184686	-0.116392	 1.266990	-0.068308	 1.292727	-0.017405	 3.037994	 0.009116	 0.248945	-0.017995	 4.945649
12.754273	 0.326242	 4.285512	 0.096407	 5.164135	 0.029849	 5.185236	 0.015893	 0.626534	-0.017283	 5.205568	-0.017110	 0.259695
13.417557	 0.370185	 4.146675	 0.151864	 4.316052	-0.093913	 1.758467	 0.046956	 5.490687	-0.010720	 0.560585	 0.014980	 0.193504
13.922070	 0.304865	 1.013213	-0.216795	 1.620798	 0.036637	 2.742674	-0.034866	 1.458273	-0.054395	 0.811186	-0.022396	 1.644914
